index,portfolio_category,display_title,display_description,platform,video_id,view_url,portfolio_page_url,portfolio_caption,portfolio_role,source_title,source_description,thumbnail_url,source_metadata_status,share_url,download_zip_url,embed_url,watch_url
1,PORTFOLIO VIDEOS,Paper Madison,My friend Madison is a fantastic dancer and created this dance on the spot! I just added a little spice on top.,Squarespace Native,e21b4775-0559-4e2b-b804-2aab41a280f0,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/e21b4775-0559-4e2b-b804-2aab41a280f0/original,https://www.elranchopro.com/,Paper Madison,"(Editor, Director, Camera, Music)",,,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/e21b4775-0559-4e2b-b804-2aab41a280f0/thumbnail,not applicable,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/e21b4775-0559-4e2b-b804-2aab41a280f0/original,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/e21b4775-0559-4e2b-b804-2aab41a280f0/original
2,PORTFOLIO VIDEOS,EURAERIAL,I took a risk flying so close to some of these buildings. I think it paid off.,Squarespace Native,c50dca02-0156-4858-890a-7a939b773d9e,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/c50dca02-0156-4858-890a-7a939b773d9e/original,https://www.elranchopro.com/,EURAERIAL,"(Editor, Drone Pilot)",,,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/c50dca02-0156-4858-890a-7a939b773d9e/thumbnail,not applicable,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/c50dca02-0156-4858-890a-7a939b773d9e/original,https://video.squarespace-cdn.com/content/v1/658376ee4344787c0829f3d8/c50dca02-0156-4858-890a-7a939b773d9e/original
3,PORTFOLIO VIDEOS,Bernie Blackout VICE Trailer,My friends at Pat McGee Pictures asked me to cut a trailer for this “Mainstream Media vs. Bernie Sanders” documentary.,Vimeo,417720127,https://player.vimeo.com/video/417720127?h=33fdce7de2&app_id=122963,https://www.elranchopro.com/,Bernie Blackout Trailer,(Editor),,,https://i.vimeocdn.com/video/910933745-1e03cc4e56615d4c2995eee2903f22d686f0885608086d5de8e6796de5792396-d,HTTP 200; thumbnail from Vimeo player page,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://player.vimeo.com/video/417720127?h=33fdce7de2&app_id=122963,https://vimeo.com/417720127
4,PORTFOLIO VIDEOS,Parents Explain Birth Control | Parents Explain | Cut,14 million + views on this experimental video that I edited for CUT’s YouTube channel.,YouTube,NIu6Ykuv8qQ,https://www.youtube.com/watch?v=NIu6Ykuv8qQ,https://www.elranchopro.com/,Parents Explain Birth Control (CUT),(Editor),Parents Explain Birth Control | Parents Explain | Cut,,https://i.ytimg.com/vi/NIu6Ykuv8qQ/hqdefault.jpg,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://www.youtube.com/embed/NIu6Ykuv8qQ?feature=oembed,https://www.youtube.com/watch?v=NIu6Ykuv8qQ
5,PORTFOLIO VIDEOS,Midi Matilda - Tidal Wave,"After a week of road tripping around California, and a LOT of rotoscoping, we ended up with this.",YouTube,etEM_zPL_nQ,https://www.youtube.com/watch?v=etEM_zPL_nQ,https://www.elranchopro.com/,MIDI MATILDA - TIDAL WAVE,"(Co-Director, Camera)",Midi Matilda - Tidal Wave,,https://i.ytimg.com/vi/etEM_zPL_nQ/hqdefault.jpg,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://www.youtube.com/embed/etEM_zPL_nQ?feature=oembed,https://www.youtube.com/watch?v=etEM_zPL_nQ
6,PORTFOLIO VIDEOS,LS_Trailer_1min_v1,A short trailer for the feature length dance film that I co-directed with Spectrum Dance Theater's Donald Byrd.,Vimeo,474827764,https://player.vimeo.com/video/474827764?h=36c1c0d714&app_id=122963,https://www.elranchopro.com/,LYRIC SUITE,"(Editor, Co-Director, Camera)",,,https://i.vimeocdn.com/video/987071827-69dbab0aa2d7f5d0aff2f86e011a6ff72416a86a7eca673bca38ec0f60f43361-d,HTTP 200; thumbnail from Vimeo player page,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://player.vimeo.com/video/474827764?h=36c1c0d714&app_id=122963,https://vimeo.com/474827764
7,PORTFOLIO VIDEOS,Brittany Davis - Sepricon (Official Music Video),"I co-directed and edited this music video with Donald Byrd at the Rabbit Box in Pike Place Market, Seattle. We wanted to give the viewer the experience of what's it's like to be a blind musician hearing rhythms of movement that build into a musical production.",YouTube,MiqSscagM0A,https://www.youtube.com/watch?v=MiqSscagM0A,https://www.elranchopro.com/,Brittany Davis - Sepricon,"(Co-Director, Editor)",Brittany Davis - Sepricon (Official Music Video),,https://i.ytimg.com/vi/MiqSscagM0A/hqdefault.jpg,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://www.youtube.com/embed/MiqSscagM0A?feature=oembed,https://www.youtube.com/watch?v=MiqSscagM0A
8,PORTFOLIO VIDEOS,"STEEL BETTY // ""The Waffle House Song"" OFFICIAL MUSIC VIDEO","I helped Steel Betty make their vision a reality for the hilarious ""Waffle House"" song.",YouTube,su6h3GmKgWI,https://www.youtube.com/watch?v=su6h3GmKgWI,https://www.elranchopro.com/,Steel Betty - The Waffle House Song,"(Director, Camera, Editor)","STEEL BETTY // ""The Waffle House Song"" OFFICIAL MUSIC VIDEO",,https://i.ytimg.com/vi/su6h3GmKgWI/hqdefault.jpg,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://www.youtube.com/embed/su6h3GmKgWI?feature=oembed,https://www.youtube.com/watch?v=su6h3GmKgWI
9,PORTFOLIO VIDEOS,SHIVER feat. Ify,I made this track with my dearest friend's vocals she recorded across the world! Arrangement inspired by Darius.,YouTube,uVSGv4AYjAc,https://www.youtube.com/watch?v=uVSGv4AYjAc,https://www.elranchopro.com/,“Shiver” ft. Ify,(Music Production),SHIVER feat. Ify,,https://i.ytimg.com/vi/uVSGv4AYjAc/hqdefault.jpg,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://www.youtube.com/embed/uVSGv4AYjAc?feature=oembed,https://www.youtube.com/watch?v=uVSGv4AYjAc
10,PORTFOLIO VIDEOS,Egan's Bachelor Party,Portfolio video item.,Vimeo,895954612,https://player.vimeo.com/video/895954612?app_id=122963,https://www.elranchopro.com/,Egan,,Egan's Bachelor Party,,https://i.vimeocdn.com/video/1770931723-55d63d93f0e7adc2476f7b73bee72693d0b1d54406b4491acf61d921283c9187-d_295x166?region=us,HTTP 200,https://agentai-leo.github.io/elranchopro-video-summary,https://agentai-leo.github.io/elranchopro-video-summary/elranchopro_video_summary_bundle.zip,https://player.vimeo.com/video/895954612?app_id=122963,https://vimeo.com/895954612
